,"A,B",A,B,DNA_max_Cfrac,AA_max_Cfrac,ksize,PdN,PdS,PdN/PdS,dN/dS,ANI_approx,AAI_approx
0,"('negative_0.01_0', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_0,0.8989979959919839,0.9389106229310864,7,0.008964574654145907,0.006130966977683894,1.4621795691896664,0.5048781472089879,0.9949426188025362,0.9910354253458541
1,"('negative_0.01_1', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_1,0.8990981963927855,0.9386096900391212,7,0.009009957968413418,0.0060699022193199115,1.4843662455938076,0.5125390175368753,0.9949478991977121,0.9909900420315866
2,"('negative_0.01_2', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_2,0.887875751503006,0.9449292807703882,7,0.008059516453237658,0.008786049617653502,0.9173083244424154,0.31673874879850217,0.9943529825289332,0.9919404835467623
3,"('negative_0.01_3', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_3,0.9061122244488978,0.9494432741498646,7,0.00738395981991713,0.006601903924719488,1.118459145136813,0.38619441334320453,0.9953161411369374,0.9926160401800829
4,"('negative_0.01_4', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_4,0.904308617234469,0.93439662955161,7,0.009646637492179533,0.004619844466816736,2.088087069049419,0.7209986740663913,0.9952217103275269,0.9903533625078205
5,"('negative_0.01_5', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_5,0.9019038076152304,0.9316882335239242,7,0.010057232037606223,0.004584154729782797,2.193911992600378,0.7575391185212067,0.9950955231751988,0.9899427679623938
6,"('negative_0.01_6', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_6,0.8861723446893788,0.9386096900391212,7,0.009009957968413418,0.008105287178372111,1.1116148965647141,0.38383115262548423,0.9942620572696111,0.9909900420315866
7,"('negative_0.01_7', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_7,0.8778557114228457,0.9154378573578092,7,0.012542506740304327,0.005895822244257665,2.1273549677520065,0.7345575449188543,0.9938157239074619,0.9874574932596957
8,"('negative_0.01_8', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_8,0.8899799599198397,0.9368040926873308,7,0.009282520061083988,0.00723052462861884,1.283796202607931,0.443283890586595,0.9944650728734049,0.990717479938916
9,"('negative_0.01_9', 'negative_0.01_ref')",negative_0.01_ref,negative_0.01_9,0.8870741482965931,0.9202527836292508,7,0.0118022127004489,0.005170205877501721,2.2827355389862753,0.7882091322957094,0.9943102148857496,0.9881977872995511
