,Unnamed: 0,A,B,DNA_max_Cfrac,ksize,AA_max_Cfrac,sequence_comparison,PdN,PdS,PdN/PdS,dN/dS,ANI_approx,AAI_approx
0,0,ref_gene,ref_gene,1.0,7,1.0,ref_gene_vs_ref_gene,0.0,0.0,,,1.0,1.0
1,1,ref_gene,positive_0.01_0,0.8640160727503436,7,0.8661592134475103,ref_gene_vs_positive_0.01_0,0.0203174107448714,0.0003466580570221,58.60937120400589,20.237316514387683,0.9930639799183464,0.9796825892551285
2,2,ref_gene,positive_0.01_1,0.8141059532621339,7,0.8271487472248652,ref_gene_vs_positive_0.01_1,0.0267459247236429,0.0022073389370076,12.116818253521483,4.183834105476029,0.9902542408417002,0.9732540752763571
3,3,ref_gene,positive_0.01_2,0.8407528814634662,7,0.858547415160165,ref_gene_vs_positive_0.01_2,0.0215519884078859,0.0029231595324852,7.372840301180126,2.545778938075649,0.9917741380827061,0.978448011592114
4,4,ref_gene,positive_0.01_3,0.8430792005921539,7,0.8614018395179195,ref_gene_vs_positive_0.01_3,0.0210879264335003,0.0030020742584465,7.024451968224253,2.425483415037074,0.9919046417873874,0.9789120735664997
5,5,ref_gene,positive_0.01_4,0.8716294808078672,7,0.882651443070092,ref_gene_vs_positive_0.01_4,0.0176740767483113,0.0017618271719351,10.031674519412835,3.463851739886943,0.9934789334860532,0.9823259232516887
6,6,ref_gene,positive_0.01_5,0.8559796975785132,7,0.8686964795432921,ref_gene_vs_positive_0.01_5,0.0199079511456242,0.0020626187530836,9.651784226174314,3.3326788583651217,0.9926221783113802,0.9800920488543757
7,7,ref_gene,positive_0.01_6,0.845299777942265,7,0.864256263875674,ref_gene_vs_positive_0.01_6,0.0206251806729502,0.003098028281099,6.65751852518055,2.298784423492836,0.9920288939748424,0.9793748193270497
8,8,ref_gene,positive_0.01_7,0.8406471396848895,7,0.873453853472883,ref_gene_vs_positive_0.01_7,0.019142969537557,0.0053497067898722,3.57832125936274,1.235563842918973,0.9917681979281826,0.980857030462443
9,9,ref_gene,positive_0.01_8,0.8201332346410066,7,0.8312718046305106,ref_gene_vs_positive_0.01_8,0.0260543516969594,0.0018751270061996,13.894713057204877,4.797726033205271,0.9906021304873632,0.9739456483030405
10,10,ref_gene,positive_0.01_9,0.8251030982341123,7,0.8430066603235015,ref_gene_vs_positive_0.01_9,0.0241019967491407,0.0029881482650826,8.065863742699559,2.785074027748278,0.9908871600653605,0.9758980032508593
11,11,ref_gene,positive_0.01_10,0.8773395368510098,7,0.8839200761179828,ref_gene_vs_positive_0.01_10,0.0174725016005785,0.0010482986166273,16.667485126320145,5.755140604155386,0.9937878895200868,0.9825274983994214
12,12,ref_gene,positive_0.01_11,0.8365232103203976,7,0.8528385664446558,ref_gene_vs_positive_0.01_11,0.0224840936300089,0.0026936683348842,8.34701634898007,2.882153627226302,0.9915359750806526,0.9775159063699911
13,13,ref_gene,positive_0.01_12,0.8148461457121708,7,0.8303203298445925,ref_gene_vs_positive_0.01_12,0.0262136840809559,0.0026135023527649,10.030097754923972,3.4633072965432548,0.9902970960071844,0.9737863159190441
14,14,ref_gene,positive_0.01_13,0.8667653589933383,7,0.8801141769743102,ref_gene_vs_positive_0.01_13,0.0180779731712574,0.002141525483191,8.441633458556867,2.914824109008425,0.9932142245206271,0.9819220268287425
15,15,ref_gene,positive_0.01_14,0.8688801945648725,7,0.8829686013320647,ref_gene_vs_positive_0.01_14,0.0176236596915673,0.0022546836584996,7.81646668042759,2.698959347053473,0.9933294887662585,0.9823763403084327
16,16,ref_gene,positive_0.01_15,0.8713122554721371,7,0.8899460830954646,ref_gene_vs_positive_0.01_15,0.0165183927970271,0.0029685007287114,5.564557433744437,1.9213942708444915,0.9934617127940141,0.9834816072029728
17,17,ref_gene,positive_0.01_16,0.845299777942265,7,0.8582302568981922,ref_gene_vs_positive_0.01_16,0.0216036324500318,0.0021195765040175,10.192428727665025,3.5193587983417345,0.9920288939748424,0.9783963675499682
18,18,ref_gene,positive_0.01_17,0.8532304113355187,7,0.8709165873771012,ref_gene_vs_positive_0.01_17,0.0195505140303124,0.0028694309308812,6.8133767639803295,2.352600945410248,0.9924701283579711,0.9804494859696875
19,19,ref_gene,positive_0.01_18,0.8238341968911918,7,0.842372343799556,ref_gene_vs_positive_0.01_18,0.0242069320231608,0.0030970981338137,7.816004200471514,2.698799656665052,0.9908145423152125,0.9757930679768392
20,20,ref_gene,positive_0.01_19,0.8402241725705827,7,0.857278782112274,ref_gene_vs_positive_0.01_19,0.0217586627884597,0.0028041459911671,7.759461474900958,2.679275935279702,0.9917444301918261,0.9782413372115403
21,21,ref_gene,positive_0.01_20,0.833773924077403,7,0.8414208690136378,ref_gene_vs_positive_0.01_20,0.024364461997284,0.0012716337639838,19.159967820414906,6.61577364202667,0.9913805533458157,0.975635538002716
22,22,ref_gene,positive_0.01_21,0.8375806281061647,7,0.8439581351094196,ref_gene_vs_positive_0.01_21,0.0239447206645913,0.0010571028150855,22.65126941569436,7.821290336360834,0.9915956231671494,0.9760552793354087
23,23,ref_gene,positive_0.01_22,0.8650734905361108,7,0.8855058674278465,ref_gene_vs_positive_0.01_22,0.0172208810934791,0.0032720558911246,5.26301556773226,1.8172744337012732,0.9931218201140142,0.9827791189065208
24,24,ref_gene,positive_0.01_23,0.8168552395051285,7,0.8392007611798288,ref_gene_vs_positive_0.01_23,0.0247326265609926,0.003752844422552,6.590368205078287,2.275597990094296,0.9904132305513761,0.9752673734390074
25,25,ref_gene,positive_0.01_24,0.8718409643650206,7,0.8870916587377101,ref_gene_vs_positive_0.01_24,0.0169696465273528,0.0024322731587178,6.976867078654204,2.4090527581003305,0.9934904106316473,0.9830303534726471
26,26,ref_gene,positive_0.01_25,0.8120968594691763,7,0.8284173802727561,ref_gene_vs_positive_0.01_25,0.0265328189075919,0.0027631503252441,9.602379814514077,3.3156199359532903,0.9901377323480794,0.973467181092408
27,27,ref_gene,positive_0.01_26,0.8800888230940045,7,0.8953377735490009,ref_gene_vs_positive_0.01_26,0.0156693988835597,0.0024126152960052,6.49477722764377,2.242591240038432,0.9939359637343104,0.9843306011164402
28,28,ref_gene,positive_0.01_27,0.8483662895209897,7,0.8594988899460831,ref_gene_vs_positive_0.01_27,0.0213971543363186,0.0018208881041394,11.750944106711245,4.0575008798958105,0.9921999702414231,0.9786028456636814
29,29,ref_gene,positive_0.01_28,0.8358887596489373,7,0.8528385664446558,ref_gene_vs_positive_0.01_28,0.0224840936300089,0.002799322947559,8.031975606678312,2.773372743113139,0.9915001517512619,0.9775159063699911
30,30,ref_gene,positive_0.01_29,0.8291212858200275,7,0.8379321281319378,ref_gene_vs_positive_0.01_29,0.0249433813001898,0.0014713157238521,16.953112711174917,5.853765375607482,0.9911164166302003,0.9750566186998102
31,31,ref_gene,positive_0.01_30,0.861266786507349,7,0.8855058674278465,ref_gene_vs_positive_0.01_30,0.0172208810934791,0.0038889720414611,4.428131884180178,1.5289962111294786,0.9929132793137764,0.9827791189065208
32,32,ref_gene,positive_0.01_31,0.8319763138415989,7,0.8468125594671742,ref_gene_vs_positive_0.01_31,0.0234738025938614,0.0024626738556045,9.531835707940072,3.291261657001729,0.9912786673262035,0.9765261974061386
33,33,ref_gene,positive_0.01_32,0.8168552395051285,7,0.8290516967967015,ref_gene_vs_positive_0.01_32,0.0264263708783246,0.00205910010522,12.83394178424402,4.431450750613406,0.9904132305513761,0.9735736291216753
34,34,ref_gene,positive_0.01_33,0.8219308448768108,7,0.8369806533460197,ref_gene_vs_positive_0.01_33,0.0251016269136229,0.0025237610082076,9.946118840884314,3.434310093040772,0.9907054157131929,0.9748983730863771
35,35,ref_gene,positive_0.01_34,0.822248070212541,7,0.8376149698699651,ref_gene_vs_positive_0.01_34,0.0249961127171011,0.0025756713114604,9.704698191062365,3.3509495996044936,0.9907236201825702,0.9750038872828989
36,36,ref_gene,positive_0.01_35,0.8462514539494554,7,0.857278782112274,ref_gene_vs_positive_0.01_35,0.0217586627884597,0.001807602483753,12.037305206221948,4.156378927708924,0.9920820497760002,0.9782413372115403
37,37,ref_gene,positive_0.01_36,0.869091678122026,7,0.8766254360926102,ref_gene_vs_positive_0.01_36,0.0186349634868956,0.0012093034907634,15.40966649747411,5.3208265484551855,0.9933410004913859,0.9813650365131044
38,38,ref_gene,positive_0.01_37,0.8421275245849635,7,0.8671106882334285,ref_gene_vs_positive_0.01_37,0.0201637430643849,0.0040837076295039,4.937606923352223,1.7049136013368662,0.9918512954106468,0.979836256935615
39,39,ref_gene,positive_0.01_38,0.8373691445490113,7,0.8626704725658103,ref_gene_vs_positive_0.01_38,0.0208820996364739,0.004154896303353,5.0259015175954325,1.735400972443266,0.9915836992894861,0.9791179003635261
40,40,ref_gene,positive_0.01_39,0.8314476049487153,7,0.8522042499207104,ref_gene_vs_positive_0.01_39,0.0225879907390639,0.0034369388401745,6.5721247276883314,2.2692986727892444,0.9912486609482164,0.9774120092609361
41,41,ref_gene,positive_0.01_40,0.8781854710796235,7,0.8886774500475737,ref_gene_vs_positive_0.01_40,0.0167187966219002,0.0016668671274189,10.030071591722251,3.463298262612616,0.9938334978298335,0.9832812033780998
42,42,ref_gene,positive_0.01_41,0.8410701067991964,7,0.8594988899460831,ref_gene_vs_positive_0.01_41,0.0213971543363186,0.0030254197781954,7.072458007490449,2.442059491375626,0.9917919542781147,0.9786028456636814
43,43,ref_gene,positive_0.01_42,0.8511155757639843,7,0.8693307960672375,ref_gene_vs_positive_0.01_42,0.0198057464330236,0.0029607169856931,6.689510185785995,2.309830871325209,0.9923528490078368,0.9801942535669763
44,44,ref_gene,positive_0.01_43,0.8179126572908957,7,0.8322232794164288,ref_gene_vs_positive_0.01_43,0.0258951755552585,0.0024107344520818,10.741612595653669,3.708987308813149,0.9904742447739769,0.9741048244447414
45,45,ref_gene,positive_0.01_44,0.8390610130062388,7,0.8575959403742468,ref_gene_vs_positive_0.01_44,0.021706969629078,0.0030488595463855,7.119701415833257,2.458372237754084,0.9916790101141515,0.978293030370922
46,46,ref_gene,positive_0.01_45,0.841175848577773,7,0.8648905803996194,ref_gene_vs_positive_0.01_45,0.0205225262143406,0.0038825270685225,5.285868160643714,1.825165239325408,0.9917978915877792,0.9794774737856593
47,47,ref_gene,positive_0.01_46,0.8234112297768849,7,0.8436409768474469,ref_gene_vs_positive_0.01_46,0.0239971291316548,0.0033782588238181,7.1034015992099215,2.452744049951408,0.990790312725272,0.9760028708683451
48,48,ref_gene,positive_0.01_47,0.8510098339854076,7,0.8728195369489375,ref_gene_vs_positive_0.01_47,0.0192447604334389,0.0035390482734889,5.43783496190252,1.8776380810156683,0.9923469777575615,0.9807552395665611
49,49,ref_gene,positive_0.01_48,0.8407528814634662,7,0.8575959403742468,ref_gene_vs_positive_0.01_48,0.021706969629078,0.0027681783112931,7.841608158159984,2.707640485104568,0.9917741380827061,0.978293030370922
50,50,ref_gene,positive_0.01_49,0.8643332980860738,7,0.8747224865207739,ref_gene_vs_positive_0.01_49,0.0189395776870339,0.0016731327289228,11.31982977777659,3.908640775286087,0.9930813390525615,0.9810604223129661
51,51,ref_gene,positive_0.01_50,0.8616897536216559,7,0.8728195369489375,ref_gene_vs_positive_0.01_50,0.0192447604334389,0.0017964311786349,10.712773560333458,3.6990294356308353,0.9929364938164905,0.9807552395665611
52,52,ref_gene,positive_0.01_51,0.8540763455641324,7,0.8661592134475103,ref_gene_vs_positive_0.01_51,0.0203174107448714,0.0019641329374138,10.344213651660192,3.571768839362488,0.9925169625968042,0.9796825892551285
53,53,ref_gene,positive_0.01_52,0.8404356561277361,7,0.8503013003488741,ref_gene_vs_positive_0.01_52,0.0229000802738181,0.0016276584980331,14.069339668911203,4.858023114377412,0.9917563154840067,0.9770999197261818
54,54,ref_gene,positive_0.01_53,0.8535476366712488,7,0.873453853472883,ref_gene_vs_positive_0.01_53,0.019142969537557,0.0032250611667827,5.935691928799421,2.0495438498545084,0.9924876963777215,0.980857030462443
55,55,ref_gene,positive_0.01_54,0.8742730252722851,7,0.8855058674278465,ref_gene_vs_positive_0.01_54,0.0172208810934791,0.0017907269122429,9.616698657814762,3.3205641105459045,0.9936222075700099,0.9827791189065208
56,56,ref_gene,positive_0.01_55,0.8226710373268479,7,0.8353948620361561,ref_gene_vs_positive_0.01_55,0.0253657125835961,0.0021346271545411,11.882971004858462,4.103088642933191,0.9907478824062556,0.9746342874164039
57,57,ref_gene,positive_0.01_56,0.8306016707201015,7,0.8404693942277196,ref_gene_vs_positive_0.01_56,0.024522144731895,0.0016444101853735,14.912425713493594,5.149133542327385,0.9912006129245452,0.9754778552681049
58,58,ref_gene,positive_0.01_57,0.8521729935497515,7,0.8620361560418649,ref_gene_vs_positive_0.01_57,0.0209849805804275,0.0016081314715759,13.04929413505173,4.505810082506651,0.9924115233319449,0.9790150194195725
59,59,ref_gene,positive_0.01_58,0.8547107962355927,7,0.8591817316841104,ref_gene_vs_positive_0.01_58,0.0214487493622345,0.0007290704485232,29.419309760367398,10.158237002458696,0.9925520592925768,0.9785512506377655
60,60,ref_gene,positive_0.01_59,0.8276409009199535,7,0.8436409768474469,ref_gene_vs_positive_0.01_59,0.0239971291316548,0.0026660900511014,9.0008696899571,3.1079236149179224,0.9910320770412292,0.9760028708683451
61,61,ref_gene,positive_0.01_60,0.8598921433858517,7,0.8718680621630194,ref_gene_vs_positive_0.01_60,0.0193975657309936,0.0019356371399674,10.021282052543988,3.460263309622812,0.9928377571222232,0.9806024342690064
62,62,ref_gene,positive_0.01_61,0.85608543935709,7,0.8671106882334285,ref_gene_vs_positive_0.01_61,0.0201637430643849,0.0017895678975097,11.267380853469616,3.890530608597132,0.9926280170936489,0.979836256935615
63,63,ref_gene,positive_0.01_62,0.8247858728983821,7,0.8404693942277196,ref_gene_vs_positive_0.01_62,0.024522144731895,0.0026214451222935,9.354437567031754,3.230007590410068,0.9908690156041302,0.9754778552681049
64,64,ref_gene,positive_0.01_63,0.8428677170350005,7,0.8544243577545195,ref_gene_vs_positive_0.01_63,0.0222246403489305,0.0019003360621928,11.695110560226269,4.038222032006379,0.9918927919949939,0.9777753596510694
65,65,ref_gene,positive_0.01_64,0.8247858728983821,7,0.842372343799556,ref_gene_vs_positive_0.01_64,0.0242069320231608,0.0029366578310278,8.24302094966527,2.846244901902358,0.9908690156041302,0.9757930679768392
66,66,ref_gene,positive_0.01_65,0.838215078777625,7,0.8534728829686014,ref_gene_vs_positive_0.01_65,0.0223802627361237,0.0025160890166453,8.894861266062374,3.07131980935786,0.9916313776038573,0.9776197372638763
67,67,ref_gene,positive_0.01_66,0.8390610130062388,7,0.8461782429432286,ref_gene_vs_positive_0.01_66,0.0235783333412566,0.0011774958342068,20.02413312751791,6.914162559725915,0.9916790101141515,0.9764216666587433
68,68,ref_gene,positive_0.01_67,0.8276409009199535,7,0.8449096098953378,ref_gene_vs_positive_0.01_67,0.0237875964887217,0.0028756226940345,8.272154945107763,2.856304622301784,0.9910320770412292,0.9762124035112782
69,69,ref_gene,positive_0.01_68,0.8644390398646505,7,0.8823342848081193,ref_gene_vs_positive_0.01_68,0.0177245093355179,0.0028710852088044,6.17345290943101,2.1316406907003933,0.9930871240822724,0.982275490664482
70,70,ref_gene,positive_0.01_69,0.8361002432060908,7,0.8506184586108468,ref_gene_vs_positive_0.01_69,0.0228480238044084,0.002400166933781,9.51934779320325,3.286949686442378,0.9915120957374933,0.9771519761955916
71,71,ref_gene,positive_0.01_70,0.8567198900285503,7,0.8718680621630194,ref_gene_vs_positive_0.01_70,0.0193975657309936,0.0024522299654723,7.910174006562759,2.7313156883647194,0.9926630353700332,0.9806024342690064
72,72,ref_gene,positive_0.01_71,0.8076557047689542,7,0.8255629559150016,ref_gene_vs_positive_0.01_71,0.0270127013169816,0.0030434138929423,8.875789579466524,3.064734518470504,0.9898792101006513,0.9729872986830184
73,73,ref_gene,positive_0.01_72,0.8681400021148356,7,0.886140183951792,ref_gene_vs_positive_0.01_72,0.0171203410259552,0.0028773256397631,5.950088091997963,2.0545147223490723,0.9932891767030811,0.9828796589740447
74,74,ref_gene,positive_0.01_73,0.8472031299566458,7,0.8623533143038377,ref_gene_vs_positive_0.01_73,0.0209335320003531,0.0024759407989995,8.45477889003298,2.9193631144956926,0.992135148676322,0.9790664679996468
75,75,ref_gene,positive_0.01_74,0.8455112614994185,7,0.851569933396765,ref_gene_vs_positive_0.01_74,0.0226919541548482,0.0009963653418344,22.77473252237897,7.863921095171214,0.992040711298858,0.9773080458451517
76,76,ref_gene,positive_0.01_75,0.8520672517711748,7,0.8737710117348557,ref_gene_vs_positive_0.01_75,0.0190920978482764,0.0035183410409753,5.426448893363585,1.8737065685605203,0.9924056590207181,0.9809079021517235
77,77,ref_gene,positive_0.01_76,0.8481548059638363,7,0.8569616238503013,ref_gene_vs_positive_0.01_76,0.0218103723427542,0.0014424588774211,15.120273225222013,5.220901517229125,0.9921881908005327,0.9781896276572457
78,78,ref_gene,positive_0.01_77,0.872792640372211,7,0.8851887091658738,ref_gene_vs_positive_0.01_77,0.0172711742785363,0.0019779037397644,8.732060075174804,3.01510594523973,0.9935420249969924,0.9827288257214637
79,79,ref_gene,positive_0.01_78,0.8446653272708047,7,0.8686964795432921,ref_gene_vs_positive_0.01_78,0.0199079511456242,0.003919971090796,5.078596419337798,1.75359607304489,0.9919934251007149,0.9800920488543757
80,80,ref_gene,positive_0.01_79,0.8518557682140213,7,0.864256263875674,ref_gene_vs_positive_0.01_79,0.0206251806729502,0.0020199174207705,10.2109029116062,3.525737776653262,0.9923939283186518,0.9793748193270497
81,81,ref_gene,positive_0.01_80,0.8725811568150577,7,0.8877259752616555,ref_gene_vs_positive_0.01_80,0.0168692604773681,0.0024137700067181,6.988760499308761,2.413159454918272,0.9935305597716806,0.9831307395226319
82,82,ref_gene,positive_0.01_81,0.8465686792851855,7,0.8610846812559467,ref_gene_vs_positive_0.01_81,0.0211394237286974,0.0023745606004887,8.902457037460321,3.0739425645042364,0.9920997557255882,0.9788605762713025
83,83,ref_gene,positive_0.01_82,0.8513270593211378,7,0.866476371709483,ref_gene_vs_positive_0.01_82,0.0202661721151656,0.0024656062677382,8.219549236365285,2.8381403192830805,0.9923645894245693,0.9797338278848343
84,84,ref_gene,positive_0.01_83,0.8767050861795496,7,0.8902632413574374,ref_gene_vs_positive_0.01_83,0.0164683301033444,0.0021538957773924,7.645834248898249,2.640041422265315,0.9937536557946433,0.9835316698966555
85,85,ref_gene,positive_0.01_84,0.8576715660357407,7,0.8683793212813193,ref_gene_vs_positive_0.01_84,0.0199590774919738,0.0017355684411008,11.500023288804178,3.970860059362877,0.9927155165030395,0.9800409225080261
86,86,ref_gene,positive_0.01_85,0.8875964893729512,7,0.8972407231208372,ref_gene_vs_positive_0.01_85,0.0153708000777403,0.0015189476606136,10.119374403941247,3.4941337627958573,0.9943380873339703,0.9846291999222596
87,87,ref_gene,positive_0.01_86,0.8362059849846675,7,0.8725023786869648,ref_gene_vs_positive_0.01_86,0.0192956796614199,0.0059349010209354,3.2512218137007363,1.1226191912778327,0.9915180666516797,0.98070432033858
