,Unnamed: 0,A,B,DNA_max_Cfrac,ksize,AA_max_Cfrac,sequence_comparison,PdN,PdS,PdN/PdS,dN/dS,ANI_approx,AAI_approx
0,0,ref_gene,ref_gene,1.0,7,1.0,ref_gene_vs_ref_gene,0.0,0.0,,,1.0,1.0
1,1,ref_gene,negative_0.01_0,0.8896055831659089,7,0.9467174119885824,ref_gene_vs_negative_0.01_0,0.0077915775912135,0.0087805793524612,0.8873648626647285,0.3063995265703322,0.9944451484438264,0.9922084224087865
2,2,ref_gene,negative_0.01_1,0.8860103626943006,7,0.9397399302251824,ref_gene_vs_negative_0.01_1,0.008839572346273,0.0083013405111256,1.0648367374433203,0.3676790528391733,0.9942534022525675,0.9911604276537269
3,3,ref_gene,negative_0.01_2,0.8892883578301787,7,0.9467174119885824,ref_gene_vs_negative_0.01_2,0.0077915775912135,0.0088306843685916,0.8823299832712864,0.3046610256138523,0.9944282593767426,0.9922084224087865
4,4,ref_gene,negative_0.01_3,0.8733213492650946,7,0.9188074849349824,ref_gene_vs_negative_0.01_3,0.0120240777092059,0.0071401499854099,1.684009122185927,0.5814740018310152,0.9935706764889205,0.987975922290794
5,5,ref_gene,negative_0.01_4,0.8833668182298826,7,0.9191246431969552,ref_gene_vs_negative_0.01_4,0.0119753657512187,0.0055850133748208,2.1441964320457525,0.740372759047188,0.9941119390747688,0.9880246342487813
6,6,ref_gene,negative_0.01_5,0.8773395368510098,7,0.9248334919124644,ref_gene_vs_negative_0.01_5,0.0111010049300059,0.0074197952871999,1.4961335859436162,0.5166021798998137,0.9937878895200868,0.988898995069994
7,7,ref_gene,negative_0.01_6,0.9262979803320291,7,0.9549635267998732,ref_gene_vs_negative_0.01_6,0.0065615400443173,0.0043159112468182,1.5203139427750043,0.5249514510927145,0.996360956327619,0.9934384599556827
8,8,ref_gene,negative_0.01_7,0.8867505551443375,7,0.9251506501744372,ref_gene_vs_negative_0.01_7,0.0110525651061235,0.0059710894426263,1.8510131546885815,0.639139071349869,0.9942929399095405,0.9889474348938765
9,9,ref_gene,negative_0.01_8,0.8842127524584964,7,0.9302251823660006,ref_gene_vs_negative_0.01_8,0.0102794572924131,0.0071465756992232,1.4383752058388486,0.4966587033613961,0.9941572511075322,0.9897205427075868
