,"A,B",A,B,DNA_max_Cfrac,AA_max_Cfrac,ksize,PdN,PdS,PdN/PdS,dN/dS,ANI_approx,AAI_approx
0,"('positive_0.01_0', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_0,0.8304609218436874,0.8402046343665363,7,0.02456604915309457,0.0016240817750957648,15.126115895023833,5.222918941331099,0.9911926140395967,0.9754339508469054
1,"('positive_0.01_1', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_1,0.8313627254509018,0.8498344869094192,7,0.022976730537063283,0.0030624038943150023,7.50284133967989,2.590667189037451,0.9912438419990315,0.9770232694629367
2,"('positive_0.01_2', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_2,0.8882765531062125,0.8934697562443575,7,0.015963045900446837,0.0008191307250776658,19.48778798272193,6.728967150984702,0.9943743525623925,0.9840369540995532
3,"('positive_0.01_3', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_3,0.8264529058116232,0.8386999699067108,7,0.024815789080034678,0.002047142545304248,12.12215980609525,4.185678498068763,0.990964291330962,0.9751842109199653
4,"('positive_0.01_4', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_4,0.8364729458917836,0.8489316882335239,7,0.0231250715502056,0.002061058408040828,11.21999816210328,3.874169768977366,0.9915331379171621,0.9768749284497944
5,"('positive_0.01_5', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_5,0.8445891783567134,0.8651820643996389,7,0.020475375611847535,0.003365119197655142,6.0845914837474515,2.100957597527147,0.9919891663012461,0.9795246243881525
6,"('positive_0.01_6', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_6,0.8286573146292585,0.8399037014745712,7,0.024615966453184868,0.0018765795815611774,13.117464718819,4.529348804255888,0.9910899989864269,0.9753840335468151
7,"('positive_0.01_7', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_7,0.8328657314629259,0.8528438158290701,7,0.022483234089808346,0.003304551210833062,6.803717859206795,2.349265807887548,0.9913291044421233,0.9775167659101917
8,"('positive_0.01_8', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_8,0.8746492985971944,0.8967800180559735,7,0.015443041164535876,0.0035082634009668823,4.401904703130259,1.5199401889732285,0.9936425671753991,0.9845569588354641
9,"('positive_0.01_9', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_9,0.8348697394789579,0.8471260908817334,7,0.02342215968135497,0.002031097539447968,11.53177492781606,3.981823629784021,0.9914425600341077,0.976577840318645
10,"('positive_0.01_10', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_10,0.8517034068136272,0.8702979235630455,7,0.019650040268715085,0.0030200323039059063,6.506566252056658,2.2466618897235993,0.9923854753222751,0.9803499597312849
11,"('positive_0.01_11', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_11,0.868436873747495,0.8784231116461029,7,0.018347721172442655,0.0016020775945972954,11.452454758943565,3.954435051294415,0.9933053487365341,0.9816522788275573
12,"('positive_0.01_12', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_12,0.853306613226453,0.86879325910322,7,0.019892353333950896,0.002515119598817339,7.909108315685938,2.7309477143848304,0.9924743490056642,0.9801076466660491
13,"('positive_0.01_13', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_13,0.8318637274549098,0.8534456816130003,7,0.02238471395217212,0.0035705941895356474,6.269184556949955,2.1646960129378767,0.9912722791134436,0.9776152860478279
14,"('positive_0.01_14', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_14,0.8451903807615231,0.8606680710201625,7,0.021207093847617986,0.0025341658206088358,8.368471263858718,2.889561826534176,0.9920227799504359,0.978792906152382
15,"('positive_0.01_15', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_15,0.824749498997996,0.8489316882335239,7,0.0231250715502056,0.004024647557328231,5.745862518594601,1.9839973718914092,0.9908669346872482,0.9768749284497944
16,"('positive_0.01_16', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_16,0.8567134268537074,0.8681913933192899,7,0.019989379289015785,0.0018614705903545747,10.738487834614775,3.707908355449945,0.9926626787619605,0.9800106207109842
17,"('positive_0.01_17', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_17,0.8509018036072145,0.865783930183569,7,0.020378060559136935,0.002423470752896506,8.408626567818612,2.903427110861135,0.9923409787165816,0.9796219394408631
18,"('positive_0.01_18', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_18,0.8540080160320641,0.8612699368040927,7,0.02110934163097966,0.0011833769197079347,17.838223206338675,6.159386488287345,0.9925131812462431,0.9788906583690203
19,"('positive_0.01_19', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_19,0.8306613226452906,0.8411074330424315,7,0.02441638914552202,0.0017401748641305836,14.030997486980024,4.844783885638842,0.9912040026074993,0.975583610854478
20,"('positive_0.01_20', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_20,0.8277555110220441,0.8507372855853145,7,0.02282852453624673,0.0038154406771389038,5.98319472584887,2.065946160943332,0.9910386116672072,0.9771714754637533
21,"('positive_0.01_21', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_21,0.8331663326653307,0.8591634065603371,7,0.021451730976025707,0.004285831159025921,5.005267398564817,1.7282761869483896,0.9913461393446077,0.9785482690239743
22,"('positive_0.01_22', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_22,0.843687374749499,0.8546494131808606,7,0.022187852203360392,0.0018016089037069527,12.31557645930098,4.252463620476123,0.9919387030760194,0.9778121477966396
23,"('positive_0.01_23', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_23,0.8488977955911824,0.862473668371953,7,0.020914012724612685,0.002216630439815348,9.43504715488563,3.2578413942878632,0.9922295623020776,0.9790859872753873
24,"('positive_0.01_24', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_24,0.8491983967935872,0.8672885946433945,7,0.02013502637719089,0.0029462075835130497,6.834218501732978,2.3597974198808935,0.9922462907232369,0.9798649736228091
25,"('positive_0.01_25', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_25,0.8631262525050101,0.8802287089978935,7,0.01805971981795873,0.002748496072426332,6.570764280560123,2.2688289219871276,0.9930152549607429,0.9819402801820413
26,"('positive_0.01_26', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_26,0.82625250501002,0.8471260908817334,7,0.02342215968135497,0.0034744853364331307,6.741188237507402,2.3276748622783408,0.9909528475323596,0.976577840318645
27,"('positive_0.01_27', 'positive_0.01_ref')",positive_0.01_ref,positive_0.01_27,0.8407815631262525,0.8474270237736985,7,0.023372607324425032,0.0010977864984681451,21.290667499590533,7.351486087302561,0.9917757491823088,0.976627392675575
